"110年01月12日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"2409","友達            ","50,953,414","28,481,410","22,472,004","0","0","0","3,177,000","50,000","3,127,000","-1,173,000","1,284,000","1,227,000","57,000","112,000","1,342,000","-1,230,000","24,426,004",
"2353","宏碁            ","28,829,285","5,338,000","23,491,285","0","0","0","26,000","0","26,000","239,127","946,127","471,000","475,127","88,000","324,000","-236,000","23,756,412",
"3037","欣興            ","31,020,995","14,725,119","16,295,876","0","0","0","3,711,000","341,000","3,370,000","1,040,139","1,489,168","465,797","1,023,371","827,768","811,000","16,768","20,706,015",
"1314","中石化          ","19,853,000","4,471,000","15,382,000","0","0","0","0","0","0","-2,565,900","732,000","1,953,900","-1,221,900","207,000","1,551,000","-1,344,000","12,816,100",
"2317","鴻海            ","27,917,974","10,596,897","17,321,077","0","0","0","2,952,000","0","2,952,000","-8,097,066","900,000","4,653,000","-3,753,000","257,000","4,601,066","-4,344,066","12,176,011",
"3711","日月光投控      ","26,684,512","17,608,630","9,075,882","0","0","0","2,138,000","0","2,138,000","-92,995","1,247,814","1,311,342","-63,528","187,533","217,000","-29,467","11,120,887",
="00642U","元大S&P石油     ","2,770,000","9,523","2,760,477","0","0","0","0","0","0","5,949,000","0","0","0","6,250,000","301,000","5,949,000","8,709,477",
"3189","景碩            ","7,402,000","2,693,000","4,709,000","0","0","0","2,491,000","138,000","2,353,000","85,786","185,786","105,000","80,786","251,000","246,000","5,000","7,147,786",
"1313","聯成            ","7,927,000","1,067,000","6,860,000","0","0","0","0","0","0","-120,000","0","2,000","-2,000","0","118,000","-118,000","6,740,000",
="0056","元大高股息      ","72,300","88,000","-15,700","0","0","0","0","170,000","-170,000","6,411,246","0","0","0","6,436,000","24,754","6,411,246","6,225,546",
"2324","仁寶            ","10,709,425","6,331,600","4,377,825","0","0","0","1,074,000","0","1,074,000","20,000","557,000","158,000","399,000","188,000","567,000","-379,000","5,471,825",
"3035","智原            ","5,901,000","1,335,000","4,566,000","0","0","0","0","0","0","-224,354","32,000","36,034","-4,034","22,000","242,320","-220,320","4,341,646",
="080086","國泰金元大06購02","0","0","0","0","0","0","0","0","0","4,308,000","0","0","0","4,350,000","42,000","4,308,000","4,308,000",
="078061","富邦金元大06購01","0","0","0","0","0","0","0","0","0","4,010,000","0","0","0","4,344,000","334,000","4,010,000","4,010,000",
="08744P","臺股指凱基02售05","300,000","0","300,000","0","0","0","0","0","0","3,493,000","0","0","0","3,493,000","0","3,493,000","3,793,000",
="069414","欣興統一04購03  ","0","0","0","0","0","0","0","0","0","3,748,000","0","0","0","6,437,000","2,689,000","3,748,000","3,748,000",
="081300","聯電元大07購05  ","0","0","0","0","0","0","0","0","0","3,725,000","0","0","0","4,008,000","283,000","3,725,000","3,725,000",
"2609","陽明            ","671,500","392,000","279,500","0","0","0","0","750,000","-750,000","3,829,000","1,000,000","900,000","100,000","4,134,000","405,000","3,729,000","3,358,500",
="068536","聯發科中信04購02","0","0","0","0","0","0","0","0","0","3,336,000","0","0","0","3,666,000","330,000","3,336,000","3,336,000",
"1802","台玻            ","8,703,000","4,997,000","3,706,000","0","0","0","0","347,000","-347,000","-136,751","60,000","70,000","-10,000","36,000","162,751","-126,751","3,222,249",
"2449","京元電子        ","8,047,304","4,780,000","3,267,304","0","0","0","10,000","0","10,000","-125,726","93,000","76,726","16,274","61,000","203,000","-142,000","3,151,578",
"2002","中鋼            ","17,184,612","11,363,000","5,821,612","0","0","0","376,000","0","376,000","-3,077,289","6,000","2,816,289","-2,810,289","14,000","281,000","-267,000","3,120,323",
="072423","世紀鋼元富09購02","0","0","0","0","0","0","0","0","0","3,051,000","0","0","0","3,124,000","73,000","3,051,000","3,051,000",
"2382","廣達            ","2,996,330","1,467,900","1,528,430","0","0","0","2,223,000","800,000","1,423,000","84,000","336,000","139,000","197,000","0","113,000","-113,000","3,035,430",
"2354","鴻準            ","3,998,602","1,166,300","2,832,302","0","0","0","76,000","0","76,000","0","0","0","0","0","0","0","2,908,302",
="00878","國泰永續高股息  ","64,000","115,000","-51,000","0","0","0","0","0","0","2,958,092","0","0","0","3,423,045","464,953","2,958,092","2,907,092",
"2344","華邦電          ","26,721,319","18,057,151","8,664,168","0","0","0","27,000","424,000","-397,000","-5,482,037","897,000","3,822,037","-2,925,037","145,000","2,702,000","-2,557,000","2,785,131",
"1718","中纖            ","6,317,004","3,269,000","3,048,004","0","0","0","0","0","0","-525,711","59,000","175,000","-116,000","84,000","493,711","-409,711","2,522,293",
="077457","國巨國票05購05  ","0","0","0","0","0","0","0","0","0","2,482,000","0","0","0","2,515,000","33,000","2,482,000","2,482,000",
"2357","華碩            ","3,256,525","715,500","2,541,025","0","0","0","7,000","0","7,000","-69,000","14,000","24,000","-10,000","15,000","74,000","-59,000","2,479,025",
="079358","長榮航凱基07購01","0","0","0","0","0","0","0","0","0","2,463,000","0","0","0","2,503,000","40,000","2,463,000","2,463,000",
="00738U","元大道瓊白銀    ","1,033,000","149,000","884,000","0","0","0","0","0","0","1,578,518","0","0","0","2,080,000","501,482","1,578,518","2,462,518",
"4915","致伸            ","3,622,022","778,000","2,844,022","0","0","0","0","500,000","-500,000","-11,120","1,000","120","880","2,000","14,000","-12,000","2,332,902",
="069691","台積電統一04購10","0","0","0","0","0","0","0","0","0","2,260,000","0","0","0","3,260,000","1,000,000","2,260,000","2,260,000",
="05320P","長榮群益06售05  ","0","0","0","0","0","0","0","0","0","2,048,000","0","0","0","2,115,000","67,000","2,048,000","2,048,000",
"2458","義隆            ","4,892,730","2,530,210","2,362,520","0","0","0","24,000","0","24,000","-342,837","31,404","273,000","-241,596","17,759","119,000","-101,241","2,043,683",
="00646","元大S&P500      ","1,104,000","154,000","950,000","0","0","0","0","0","0","1,053,000","0","0","0","1,107,000","54,000","1,053,000","2,003,000",
="069193","景碩統一05購01  ","0","0","0","0","0","0","0","0","0","1,912,000","0","0","0","1,940,000","28,000","1,912,000","1,912,000",
"4904","遠傳            ","2,760,887","1,407,600","1,353,287","0","0","0","558,000","0","558,000","0","2,000","1,000","1,000","0","1,000","-1,000","1,911,287",
"1304","台聚            ","4,777,100","2,782,000","1,995,100","0","0","0","0","0","0","-180,000","1,000","30,000","-29,000","50,000","201,000","-151,000","1,815,100",
="073730","緯穎國票05購01  ","0","0","0","0","0","0","0","0","0","1,806,000","0","0","0","1,862,000","56,000","1,806,000","1,806,000",
"1608","華榮            ","2,983,000","1,194,000","1,789,000","0","0","0","0","0","0","14,000","0","0","0","14,000","0","14,000","1,803,000",
="078690","鴻海國泰08購02  ","0","0","0","0","0","0","0","0","0","1,799,000","0","0","0","2,514,000","715,000","1,799,000","1,799,000",
="076285","國泰金兆豐05購01","0","0","0","0","0","0","0","0","0","1,787,000","0","0","0","2,509,000","722,000","1,787,000","1,787,000",
="079294","聯電元富08購06  ","0","0","0","0","0","0","0","0","0","1,710,000","0","0","0","4,372,000","2,662,000","1,710,000","1,710,000",
="069287","大立光國泰04購03","0","0","0","0","0","0","0","0","0","1,699,000","0","0","0","2,624,000","925,000","1,699,000","1,699,000",
="069321","中壽兆豐03購01  ","0","0","0","0","0","0","0","0","0","1,697,000","0","0","0","1,697,000","0","1,697,000","1,697,000",
"2607","榮運            ","4,109,000","2,415,000","1,694,000","0","0","0","0","0","0","-8,000","1,000","0","1,000","0","9,000","-9,000","1,686,000",
"8046","南電            ","4,888,000","3,520,000","1,368,000","0","0","0","629,000","123,000","506,000","-205,971","407,016","485,805","-78,789","20,029","147,211","-127,182","1,668,029",
"2105","正新            ","2,905,440","1,127,300","1,778,140","0","0","0","0","80,000","-80,000","-52,000","18,000","159,000","-141,000","89,000","0","89,000","1,646,140",
="071646","瑞昱國票04購02  ","0","0","0","0","0","0","0","0","0","1,624,000","0","0","0","1,682,000","58,000","1,624,000","1,624,000",
"3045","台灣大          ","1,820,968","828,700","992,268","0","0","0","521,000","0","521,000","105,000","107,000","2,000","105,000","0","0","0","1,618,268",
="069760","亞光兆豐03購01  ","0","0","0","0","0","0","0","0","0","1,612,000","0","0","0","1,810,000","198,000","1,612,000","1,612,000",
"2377","微星            ","3,243,383","1,200,800","2,042,583","0","0","0","6,000","452,000","-446,000","11,905","57,000","14,000","43,000","23,905","55,000","-31,095","1,608,488",
"9938","百和            ","1,843,000","276,000","1,567,000","0","0","0","31,000","0","31,000","-3,000","0","0","0","4,000","7,000","-3,000","1,595,000",
"2360","致茂            ","2,577,000","1,198,000","1,379,000","0","0","0","101,000","0","101,000","113,475","65,475","58,000","7,475","151,000","45,000","106,000","1,593,475",
"2601","益航            ","3,659,000","2,080,000","1,579,000","0","0","0","0","0","0","12,000","0","0","0","12,000","0","12,000","1,591,000",
="076284","富邦金兆豐05購01","0","0","0","0","0","0","0","0","0","1,589,000","0","0","0","1,820,000","231,000","1,589,000","1,589,000",
"1477","聚陽            ","1,800,200","287,000","1,513,200","0","0","0","16,000","0","16,000","49,058","19,058","3,000","16,058","36,000","3,000","33,000","1,578,258",
"1305","華夏            ","2,475,000","903,000","1,572,000","0","0","0","0","0","0","-88,000","0","80,000","-80,000","4,000","12,000","-8,000","1,484,000",
"2332","友訊            ","3,803,000","1,801,000","2,002,000","0","0","0","0","0","0","-519,330","16,000","242,000","-226,000","193,000","486,330","-293,330","1,482,670",
="079397","聯電國票08購03  ","0","0","0","0","0","0","0","0","0","1,474,000","0","0","0","1,643,000","169,000","1,474,000","1,474,000",
="068998","儒鴻兆豐03購01  ","0","0","0","0","0","0","0","0","0","1,469,000","0","0","0","1,500,000","31,000","1,469,000","1,469,000",
"1301","台塑            ","5,994,388","4,353,200","1,641,188","0","0","0","132,000","0","132,000","-305,522","86,000","384,300","-298,300","3,000","10,222","-7,222","1,467,666",
="081152","亞光凱基08購01  ","0","0","0","0","0","0","0","0","0","1,465,000","0","0","0","1,474,000","9,000","1,465,000","1,465,000",
="077244","聯電元大07購02  ","0","0","0","0","0","0","0","0","0","1,455,000","0","0","0","1,650,000","195,000","1,455,000","1,455,000",
="076133","元大金麥證05購01","0","0","0","1,572,000","138,000","1,434,000","0","0","0","1,431,000","0","0","0","1,572,000","141,000","1,431,000","1,431,000",
="067827","富邦金兆豐03購01","0","0","0","0","0","0","0","0","0","1,414,000","0","0","0","1,477,000","63,000","1,414,000","1,414,000",
="074045","台積電元大07購02","0","0","0","0","0","0","0","0","0","1,406,000","0","0","0","1,610,000","204,000","1,406,000","1,406,000",
"2436","偉詮電          ","2,391,000","1,029,000","1,362,000","0","0","0","0","0","0","5,000","5,000","0","5,000","0","0","0","1,367,000",
="071378","裕隆凱基04購01  ","0","0","0","0","0","0","0","0","0","1,355,000","0","0","0","1,561,000","206,000","1,355,000","1,355,000",
="078212","聯電富邦08購01  ","0","0","0","0","0","0","0","0","0","1,338,000","0","0","0","3,154,000","1,816,000","1,338,000","1,338,000",
="078599","新唐元大06購01  ","0","0","0","0","0","0","0","0","0","1,330,000","0","0","0","1,645,000","315,000","1,330,000","1,330,000",
="077831","聯電元大06購08  ","0","10,000","-10,000","0","0","0","0","0","0","1,340,000","0","0","0","2,234,000","894,000","1,340,000","1,330,000",
"2049","上銀            ","2,012,889","1,276,039","736,850","0","0","0","565,000","0","565,000","2,568","19,059","37,000","-17,941","44,683","24,174","20,509","1,304,418",
"2515","中工            ","4,960,000","2,624,000","2,336,000","0","0","0","0","0","0","-1,032,852","1,000","406,663","-405,663","61,062","688,251","-627,189","1,303,148",
="079199","友達群益07購01  ","0","0","0","0","0","0","0","0","0","1,299,000","0","0","0","1,309,000","10,000","1,299,000","1,299,000",
"3653","健策            ","620,000","449,000","171,000","0","0","0","700,000","0","700,000","401,969","323,000","30,031","292,969","125,000","16,000","109,000","1,272,969",
="05453P","鴻海元富06售03  ","0","0","0","0","0","0","0","0","0","1,270,000","0","0","0","1,445,000","175,000","1,270,000","1,270,000",
"1303","南亞            ","4,035,206","2,119,100","1,916,106","0","0","0","22,000","0","22,000","-671,063","4,000","406,063","-402,063","0","269,000","-269,000","1,267,043",
="00677U","富邦VIX         ","8,654,100","7,880,000","774,100","0","0","0","0","0","0","474,000","1,150,000","40,000","1,110,000","56,000","692,000","-636,000","1,248,100",
="066599","鴻海國泰03購02  ","0","0","0","0","0","0","0","0","0","1,204,000","0","0","0","1,248,000","44,000","1,204,000","1,204,000",
="079306","台達電富邦06購02","0","0","0","0","0","0","0","0","0","1,192,000","0","0","0","1,477,000","285,000","1,192,000","1,192,000",
="076057","國揚統一06購01  ","0","0","0","0","0","0","0","0","0","1,191,000","0","0","0","1,191,000","0","1,191,000","1,191,000",
="076232","友訊群益05購01  ","0","0","0","0","0","0","0","0","0","1,179,000","0","0","0","1,179,000","0","1,179,000","1,179,000",
="00876","元大未來關鍵科技","27,106","36,100","-8,994","0","0","0","0","0","0","1,186,875","0","0","0","2,109,000","922,125","1,186,875","1,177,881",
="073968","緯穎富邦06購01  ","0","0","0","0","0","0","0","0","0","1,176,000","0","0","0","1,350,000","174,000","1,176,000","1,176,000",
="04974P","台積電元大05售18","0","0","0","0","0","0","0","0","0","1,137,000","0","0","0","2,029,000","892,000","1,137,000","1,137,000",
="079668","華邦電元大07購04","0","0","0","0","0","0","0","0","0","1,133,000","0","0","0","1,155,000","22,000","1,133,000","1,133,000",
"3042","晶技            ","2,557,000","1,521,000","1,036,000","0","0","0","222,000","0","222,000","-132,073","212,000","49,073","162,927","60,000","355,000","-295,000","1,125,927",
"3443","創意            ","2,439,000","1,306,010","1,132,990","0","0","0","60,000","0","60,000","-67,927","142,259","181,566","-39,307","94,000","122,620","-28,620","1,125,063",
="077699","聯電元大06購07  ","0","0","0","0","0","0","0","0","0","1,105,000","0","0","0","2,239,000","1,134,000","1,105,000","1,105,000",
="072096","晶碩中信04購01  ","0","0","0","0","0","0","0","0","0","1,093,000","0","0","0","1,098,000","5,000","1,093,000","1,093,000",
"4958","臻鼎-KY         ","4,414,066","3,518,100","895,966","0","0","0","180,000","50,000","130,000","66,414","26,000","74,196","-48,196","145,000","30,390","114,610","1,092,380",
="069263","台光電兆豐03購01","0","0","0","0","0","0","0","0","0","1,078,000","0","0","0","1,078,000","0","1,078,000","1,078,000",
="077581","新唐元大05購01  ","0","0","0","0","0","0","0","0","0","1,076,000","0","0","0","1,135,000","59,000","1,076,000","1,076,000",
="072317","世紀鋼元富09購01","0","0","0","0","0","0","0","0","0","1,070,000","0","0","0","1,112,000","42,000","1,070,000","1,070,000",
="05032P","台積電中信09售05","0","0","0","0","0","0","0","0","0","1,063,000","0","0","0","1,365,000","302,000","1,063,000","1,063,000",
="077559","聯電元大05購13  ","0","0","0","0","0","0","0","0","0","1,053,000","0","0","0","1,979,000","926,000","1,053,000","1,053,000",
="080146","東鋼凱基06購02  ","0","0","0","0","0","0","0","0","0","1,035,000","0","0","0","1,080,000","45,000","1,035,000","1,035,000",
="079132","臻鼎國票08購01  ","0","0","0","0","0","0","0","0","0","1,031,000","0","0","0","1,074,000","43,000","1,031,000","1,031,000",
"2401","凌陽            ","12,110,000","10,974,100","1,135,900","0","0","0","0","0","0","-113,098","725,000","449,098","275,902","38,000","427,000","-389,000","1,022,802",
="078683","新唐元大07購01  ","0","0","0","0","0","0","0","0","0","1,015,000","0","0","0","1,046,000","31,000","1,015,000","1,015,000",
